structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Primary somatosensory area, lower limb, layer 6b",0,0,0,0.0203125,0.019359375,0.039671875,0,0
Cerebellum,0,0,0,0.3003125,0.286671875,0.586984375,0,0
Medial preoptic nucleus,0,0,0,0.151984375,0.158640625,0.310625,0,0
"Ventral auditory area, layer 6a",0,0,0,0.119859375,0.094015625,0.213875,0,0
Medial preoptic area,0,0,0,0.20153125,0.225,0.42653125,0,0
Supramammillary nucleus,0,0,0,0.0809375,0.087484375,0.168421875,0,0
"Entorhinal area, medial part, dorsal zone, layer 1",0,0,0,0.335671875,0.331046875,0.66671875,0,0
"Dorsal auditory area, layer 1",0,0,0,0.08625,0.07609375,0.16234375,0,0
dorsal fornix,0,0,0,0.01640625,0.01821875,0.034625,0,0
Medial pretectal area,0,0,0,0.01965625,0.020609375,0.040265625,0,0
dorsal limb,0,0,0,0.056046875,0.041921875,0.09796875,0,0
"Perirhinal area, layer 1",0,0,0,0.0948125,0.07475,0.1695625,0,0
"Retrosplenial area, ventral part, layer 1",0,0,0,0.349375,0.417765625,0.767140625,0,0
"Entorhinal area, medial part, dorsal zone, layer 2",0,0,0,0.34215625,0.334828125,0.676984375,0,0
"Central amygdalar nucleus, capsular part",0,0,0,0.12775,0.128515625,0.256265625,0,0
"Central amygdalar nucleus, lateral part",0,0,0,0.111140625,0.1089375,0.220078125,0,0
dorsal spinocerebellar tract,0,0,0,0.05271875,0.051359375,0.104078125,0,0
"Infralimbic area, layer 2/3",0,0,0,0.0565625,0.051828125,0.108390625,0,0
"Primary somatosensory area, nose, layer 1",0,0,0,0.181171875,0.184453125,0.365625,0,0
"Central amygdalar nucleus, medial part",0,0,0,0.304421875,0.320734375,0.62515625,0,0
